Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:runner.run_model,PushPop,1485198805,1074943659,64,23206231.3,7175064.0,6617746,334972795,62590989.8,10748,167.9,1.0,1.1
:runner.model.forward,PushPop,1026304630,957332886,4,256576157.5,257817408.5,176127022,334542791,65383001.2,10664,2666.0,2.0,3.0
:engine.model_runner,PushPop,862298782,1210354767,32,26946836.9,7755262.5,7054323,359123678,74097358.3,5426,169.6,1.0,2.1
:model.language_model,PushPop,736369570,735611823,4,184092392.5,184058823.0,175127936,193123988,10295822.6,8172,2043.0,3.0,150.0
:trace_full_prefix_hit,PushPop,555564530,768730012,1,555564530.0,555564530.0,555564530,555564530,0.0,2237,2237.0,0.0,18.0
:trace_cold,PushPop,504484670,931720928,1,504484670.0,504484670.0,504484670,504484670,0.0,3193,3193.0,0.0,16.0
NCCL:ncclAllReduce,PushPop,463725337,22011745,292,1588100.5,942437.0,22431,70020494,5594514.9,292,1.0,4.0,0.0
:runner.cudagraph.replay,PushPop,456098258,105194218,60,7601637.6,7077090.5,6617746,21614732,2215285.4,60,1.0,2.0,0.0
:model.vision.image,PushPop,150007452,190748153,2,75003726.0,75003726.0,74941057,75066395,88627.3,2440,1220.0,3.0,3.0
:model.token_embedding,PushPop,138420519,4955569,4,34605129.8,33404292.5,562382,71049552,39120704.1,32,8.0,3.0,1.0
:model.vision.data_parallel.encode,PushPop,122596989,122706739,2,61298494.5,61298494.5,50579330,72017659,15159187.8,2418,1209.0,4.0,2.0
:runner.prepare_inputs,PushPop,33715898,36652709,4,8428974.5,4487621.0,599821,24140835,10994872.1,28,7.0,1.0,0.0
:model.vision.data_parallel.gather,PushPop,25789423,638690,2,12894711.5,12894711.5,2079200,23710223,15295443.0,2,1.0,4.0,1.0
NCCL:ncclAllGather,PushPop,25789423,208056,2,12894711.5,12894711.5,2079200,23710223,15295443.0,2,1.0,5.0,0.0
:attention.prefill.sdpa_varlen,PushPop,8464770,10561884,72,117566.3,117485.0,116220,120092,896.6,72,1.0,4.0,0.0
:runner.model.compute_logits,PushPop,2654417,2767047,4,663604.3,519904.5,420915,1193693,364130.2,24,6.0,2.0,1.0
:attention.prefill.paged_vectorized_sdpa,PushPop,1645386,80469385,72,22852.6,18271.0,16448,340822,38190.8,144,2.0,4.0,0.0
NCCL:ncclGroupEnd,PushPop,821545,248490,4,205386.3,12048.0,8608,788841,388979.5,4,1.0,3.0,0.0
:attention.kv_store.triton_scaled_fp8,PushPop,434866,39645702,144,3019.9,3024.0,1088,4927,1717.3,144,1.0,4.0,0.0
CCCL:cub::DeviceSelect::Flagged,PushPop,185339,419993,12,15444.9,14895.5,9984,21152,3259.4,24,2.0,4.0,0.0
:model.vision.data_parallel.restore,PushPop,116125,735993,2,58062.5,58062.5,56094,60031,2783.9,16,8.0,4.0,0.0
CCCL:cub::DeviceScan::InclusiveScan,PushPop,107837,193723,4,26959.3,28303.0,19904,31327,5454.0,8,2.0,5.0,0.0
:engine.kv.copy_prefix,PushPop,102333,1467639,1,102333.0,102333.0,102333,102333,0.0,2,2.0,1.0,0.0
CCCL:cub::DeviceScan::ExclusiveScan,PushPop,93438,96168,2,46719.0,46719.0,43903,49535,3982.4,4,2.0,3.0,0.0
:engine.kv.copy_on_write,PushPop,89085,3529552,1,89085.0,89085.0,89085,89085,0.0,2,2.0,1.0,0.0
:runner.sampler,PushPop,43776,424513551,62,706.1,320.0,320,12928,1838.9,66,1.1,1.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,26046,220232,12,2170.5,1888.0,1407,3360,820.1,12,1.0,4.0,0.0
