Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
17.2,1210514270,61,19844496.2,7916788.0,4335,522189750,83166186.9,PushPop,:engine.model_runner
15.3,1074943659,64,16795994.7,2001764.0,1444914,334868419,60477505.3,PushPop,:runner.run_model
13.6,957332886,4,239333221.5,223550800.0,176311598,333919688,76477503.1,PushPop,:runner.model.forward
13.2,931720928,1,931720928.0,931720928.0,931720928,931720928,0.0,PushPop,:trace_cold
10.9,768730012,1,768730012.0,768730012.0,768730012,768730012,0.0,PushPop,:trace_full_prefix_hit
10.5,735611823,4,183902955.8,184062663.5,175514734,191971762,9063667.6,PushPop,:model.language_model
6.0,424513551,62,6846992.8,5453720.5,963608,69169160,8377499.8,PushPop,:runner.sampler
4.1,290138408,2,145069204.0,145069204.0,112536762,177601646,46007820.7,PushPop,:preprocess.image_processor
2.7,190748153,2,95374076.5,95374076.5,74493531,116254622,29529550.6,PushPop,:model.vision.image
1.7,122706739,2,61353369.5,61353369.5,50521813,72184926,15318134.1,PushPop,:model.vision.data_parallel.encode
1.5,105194218,60,1753237.0,1842976.0,1325125,2377385,258902.9,PushPop,:runner.cudagraph.replay
1.1,80469385,72,1117630.3,187897.5,137840,62217074,7330292.6,PushPop,:attention.prefill.paged_vectorized_sdpa
0.6,39645702,144,275317.4,281415.5,155430,557869,73102.6,PushPop,:attention.kv_store.triton_scaled_fp8
0.5,36652709,4,9163177.3,5157753.0,1064875,25272328,11230983.5,PushPop,:runner.prepare_inputs
0.3,22011745,292,75382.7,73750.0,38025,224653,22369.8,PushPop,NCCL:ncclAllReduce
0.2,10561884,72,146692.8,148353.0,98372,195406,18452.3,PushPop,:attention.prefill.sdpa_varlen
0.1,9080677,32,283771.2,72154.5,56780,4870286,873948.3,PushPop,:engine.scheduler.schedule
0.1,5679321,2,2839660.5,2839660.5,2251967,3427354,831124.1,PushPop,:preprocess.mrope_positions
0.1,5012517,32,156641.2,15224.5,11695,2260334,546563.8,PushPop,:engine.scheduler.postprocess
0.1,4955569,4,1238892.3,1186143.0,716644,1866639,500334.6,PushPop,:model.token_embedding
0.1,3529552,1,3529552.0,3529552.0,3529552,3529552,0.0,PushPop,:engine.kv.copy_on_write
0.0,2767047,4,691761.8,721589.5,435244,888624,204820.7,PushPop,:runner.model.compute_logits
0.0,1467639,1,1467639.0,1467639.0,1467639,1467639,0.0,PushPop,:engine.kv.copy_prefix
0.0,1285666,60,21427.8,19054.0,12184,42480,6087.4,PushPop,:runner.cudagraph.copy_inputs
0.0,735993,2,367996.5,367996.5,290988,445005,108906.5,PushPop,:model.vision.data_parallel.restore
0.0,638690,2,319345.0,319345.0,290775,347915,40404.1,PushPop,:model.vision.data_parallel.gather
0.0,419993,12,34999.4,32684.0,20603,47763,8570.6,PushPop,CCCL:cub::DeviceSelect::Flagged
0.0,248490,4,62122.5,68033.0,35296,77128,19446.6,PushPop,NCCL:ncclGroupEnd
0.0,220232,12,18352.7,17951.5,11413,27664,4582.0,PushPop,CCCL:cub::DeviceReduce::Sum
0.0,208056,2,104028.0,104028.0,96161,111895,11125.6,PushPop,NCCL:ncclAllGather
0.0,193723,4,48430.8,50266.0,35846,57345,9333.4,PushPop,CCCL:cub::DeviceScan::InclusiveScan
0.0,96168,2,48084.0,48084.0,40489,55679,10741.0,PushPop,CCCL:cub::DeviceScan::ExclusiveScan
0.0,56550,4,14137.5,13315.0,7345,22575,6290.8,PushPop,:runner.prepare_sample_inputs
0.0,16363,2,8181.5,8181.5,6802,9561,1950.9,PushPop,NCCL:ncclSend
0.0,14384,2,7192.0,7192.0,4574,9810,3702.4,PushPop,NCCL:ncclRecv
0.0,9501,4,2375.3,2406.0,1347,3342,882.5,PushPop,NCCL:ncclCommCount
0.0,2870,4,717.5,797.0,298,978,306.4,PushPop,NCCL:ncclCommUserRank
0.0,1877,4,469.3,439.5,237,761,223.4,PushPop,NCCL:ncclGroupStart
