Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.6,495058648,648,763979.4,17659.0,5315,69002712,4098409.8,cudaMemcpyAsync
13.3,101993882,60,1699898.0,1780377.5,1281601,2303968,248728.0,cudaGraphLaunch_v10000
9.0,69142503,7374,9376.5,8708.5,4351,657535,9645.1,cudaLaunchKernel
6.9,53118479,436,121831.4,4659.5,1807,23182772,1153818.3,cudaStreamSynchronize
1.8,13632917,1150,11854.7,10620.5,4433,779022,23306.8,cuLaunchKernelEx
1.3,9951955,1098,9063.7,8478.0,4305,431816,13226.3,cuLaunchKernel
0.5,3462213,1190,2909.4,2368.0,740,27781,2017.4,cudaEventRecord
0.4,3083732,1245,2476.9,1548.0,691,26633,2192.0,cudaEventQuery
0.4,2835762,454,6246.2,4988.5,152,46906,7613.0,cudaMemsetAsync
0.3,2668297,894,2984.7,2278.5,878,19350,1956.8,cudaStreamWaitEvent
0.3,2160398,290,7449.6,6873.0,4104,49227,3473.6,cudaLaunchKernelExC_v11060
0.2,1619535,7374,219.6,188.0,80,6315,180.5,cuKernelGetName
0.2,1418617,1096,1294.4,807.0,384,151708,6163.6,cuKernelGetFunction
0.2,1259383,782,1610.5,1170.0,364,20361,1380.3,cudaStreamIsCapturing_v10000
0.2,1197989,326,3674.8,3132.0,1554,32195,2542.1,cudaEventRecordWithFlags_v11010
0.1,786383,296,2656.7,2558.5,1359,8241,837.0,cudaEventCreateWithFlags
0.1,721016,298,2419.5,2253.5,1056,26673,1689.5,cudaGetFuncBySymbol_v11000
0.1,582102,296,1966.6,1910.5,1065,7649,637.8,cudaEventDestroy
0.1,543481,298,1823.8,1768.5,851,6481,628.4,cudaStreamGetCaptureInfo_v12030
0.1,413315,646,639.8,550.5,380,6185,402.6,cudaThreadExchangeStreamCaptureMode_v10010
0.0,252705,6,42117.5,32634.5,15828,107286,34255.1,cudaHostAlloc
0.0,191962,1,191962.0,191962.0,191962,191962,0.0,cudaDeviceSynchronize
0.0,78771,12,6564.3,6941.5,1120,15846,4312.9,cuLibraryGetKernel
0.0,13906,1,13906.0,13906.0,13906,13906,0.0,cuProfilerStart
