workset_id,label,dense_prefix_pages,media_groups,resident_media_entries,ttft_p50_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,output_tokens_per_s,process_peak_mib,prefix_pre_admission_hits,visual_hydration_skips,stale_probe_fallbacks,prefix_hits,prefix_misses,prefix_evictions,prefix_entries,prefix_resident_blocks,tail_clone_hits,tail_clone_admissions,tail_clone_evictions,resident_tail_clone_blocks,dense_prompt_pages,actual_compact_pages,released_pages,vision_hits,vision_misses,requests_with_cached_tokens,cached_tokens_total,recomputed_prompt_tokens
fit,vision_only,154,21,3,570.771,2126.625,1567.539,3269.406,63.860,24000.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,298,0,0,903098
fit,dense_prefix,154,21,21,96.266,424.674,334.400,796.134,64.219,24002.000,600,600,0,600,0,0,21,189,565,35,0,35,4001,4001,0,0,0,600,832892,70206
fit,compact_prefix,154,21,21,98.923,445.645,329.764,771.089,64.223,24002.000,600,600,0,600,0,0,21,139,567,33,0,33,4001,2784,1217,0,0,600,832892,70206
knee,vision_only,224,28,5,583.948,2009.834,1527.210,3182.971,63.986,24004.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,342,0,0,930042
knee,dense_prefix,224,28,27,101.627,706.439,356.685,1117.464,64.226,24002.000,579,579,2,577,23,20,27,216,325,252,248,4,3896,3896,0,8,13,577,813989,116053
knee,compact_prefix,224,28,28,96.449,581.247,327.460,867.021,64.232,24002.000,600,600,0,600,0,0,28,189,561,39,0,39,4098,2851,1247,0,0,600,860263,69779
pressure,vision_only,312,42,7,677.832,2698.370,1660.992,4280.080,64.111,24118.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,375,0,0,903982
pressure,dense_prefix,312,42,27,124.994,695.924,403.902,1112.062,64.237,24006.000,496,496,1,495,105,96,27,215,184,311,299,8,3413,3413,0,33,71,495,715813,188169
pressure,compact_prefix,312,42,40,101.692,497.899,334.834,832.635,64.232,24002.000,587,587,0,587,13,15,40,216,255,332,322,10,3941,2762,1179,9,4,587,828031,75951
